Date,Voucher,VoucherNo,Code,Narration,ChqNo,Debit,Credit,Running Bal,Category
20/06/2023,RECEIPT,BR_83454,NSE_FNO,PAYMENT DONE VIA : RAZORPAY NET MICR :560052025 BANKACNO:0992500102129901,MY0oHt,0,71000,70988.2,NetDeposits
09/10/2023,RECEIPT,BR_61997,NSE_FNO,PAYMENT DONE VIA : RAZORPAY NET MICR :560052025 BANKACNO:0992500102129901,ipBYH1,0,76684,79471.3,NetDeposits
06/12/2023,RECEIPT,BR_07663,NSE_FNO,"RECEIVED AMOUNT THROUGH HDFC-CMS(OTH), MERCHANT TXNID : 334056224005 MICR :560052025 BANKACNO:0992500102129901",224005,0,33000,103968.89,NetDeposits
06/01/2024,RECEIPT,BR_98238,NSE_FNO,PAYMENT DONE VIA : RAZORPAY UPI MICR :560052025 BANKACNO:0992500102129901,Kv3XaP,0,67955.47,74081.04,NetDeposits
